site,pca0,pca1,pca2
EPO_O_04,0.8906100954585999,3.069692332264285,-1.157178387543165
EPO_O_13,-0.6844507894782795,1.620421161948783,-0.036883326164885974
EPO_Y_10,-0.11565575896963724,0.8879946139179193,0.38249493186821054
EPO_Y_15,0.592213127065389,-0.9329276074237122,-2.162757500921335
EPO_Y_36,-1.8704654519484116,-0.4135603862572876,-1.1209064228886492
EPO_Y_37,1.312258023694136,-0.7581907434822717,-2.0288828749457513
EPY_O_01,2.0300551455421303,0.4704164439061106,3.0793614870081973
EPY_O_07,2.0239970707129027,-1.6471255538733731,-0.7063910180246076
EPY_O_09,-0.007048513288213166,0.03884849682588328,2.8128217336037977
EPY_Y_03,-2.776641170016832,-0.9537291486583583,2.1840918941168703
EPY_Y_04,-5.603191519248163,-1.6707227162688234,-0.08906191779572502
EPY_Y_05,-0.43195125537246387,-3.536292228460894,-0.452500139402885
NRM_31,2.0520740879369175,-0.42195396921565387,-0.47283295820599847
NRM_O_15,0.8593538948678069,-1.3014757105996875,-1.2130068719789704
NRM_O_19,2.6996887362528352,-1.1514333064337088,-1.3967810729418069
NRM_Y_39,0.8669872824091622,-1.5460554217266649,-1.4042456314640615
NRM_Y_41,2.3784701943765048,-1.669964640938863,-0.9325301860180214
NRM_Y_69,2.8332003355115716,-2.2128783306719804,-2.21197274842773
NRO_138,1.6608628913331058,0.5259279858351138,-1.2015020101341172
NRO_174,2.821646420164266,-1.580632633627456,-1.9699347542136145
NRO_190,3.1326742150791915,0.1912229198296074,-0.6717417567687691
NRO_52,-0.044166992600730794,3.278615312292813,-0.374552676328558
NRO_O_56,1.9848683484767229,1.4286667821829178,-0.5754555324632871
NRO_Y_82,1.83619655364983,-0.7730953520369078,-1.8694372264042507
NRY_O_14,-1.2227084159901693,-2.458393265889239,-1.8505686448735927
NRY_O_20,-0.342279310677929,-2.7981275310963243,-0.7889871219966222
NRY_O_25,1.3486458267526809,-2.8595682376977902,-0.2441474015555818
NRY_Y_03,-3.68949998625773,-1.87272667596184,0.6047292120524567
NRY_Y_12,-2.9489312016839735,-2.40305859463122,-0.9417812872944906
NRY_Y_15,-4.664668249281952,-2.812681702273038,-0.4205306955671391
PPO_O_05,1.57177742862058,0.17243036863130345,1.5582584563710362
PPO_O_09,2.1942429948682367,1.3305462835272133,3.3252545373780267
PPO_Y_07,3.7977923000431852,-0.6426314980551906,3.3311012272402905
PPO_Y_09,-3.4854349221651715,0.93014410166022,1.5451052223617863
PPO_Y_13,2.6192306067128643,-1.7447604211019307,1.4713033455669233
PPO_Y_17,1.3200719592912187,-1.7846386064851938,0.2905460975597556
PPY_O_09,3.323486377812429,-2.071241515687393,2.487494747973999
PPY_O_24,-4.15027789041663,-1.8705884210795436,1.30124277648012
PPY_O_31,2.095657531401841,-2.1883717293512017,0.9892724714504038
PPY_Y_01,-1.411049845532891,-2.2257995590358233,1.793042959839638
PPY_Y_22,0.17824189702654974,-3.3774095682536167,-0.27264378925491806
PPY_Y_23,-5.77124417260319,-2.255477002976145,1.1886357317900857
ULM_147,1.5366156222384122,6.094442615241781,-0.28264111050487434
ULM_27,0.21794507491492396,1.9247354418631126,0.2223428552371912
ULM_310,-0.08053768812438329,2.809638220355764,-1.0369370871499355
ULM_325,1.3716874755965596,3.115234025749615,-0.5869581734460675
ULM_345,1.3318348171579546,3.887411127859654,0.5850247593171661
ULM_80,1.110661916528249,1.691681552965312,-0.0016561252897728384
ULO_107,2.107775847200224,1.6800621133900795,1.1215886003176574
ULO_139,1.6079411355033484,1.848000056409513,0.04214291638198716
ULO_188,0.686429606654472,1.2888643495318008,0.8925775511778143
ULO_237,0.6086890761154318,1.9707290155837727,-0.9439677571370293
ULO_271,-0.3329389673417421,1.333547009450707,0.7551382767279325
ULY_Y_231,-4.275548413913159,4.308827962359664,-0.44548658681708714
ULY_Y_232,-5.8646088783256705,2.8935296880261796,-0.8468096801563778
ULY_Y_25,-2.7983390561396098,4.476800954214106,-1.4049736499332466
ULY_Y_96,-6.432245467593299,0.6670811434279037,0.15307233219157632
